run_id,batch,started_at,ended_at,rows_read,rows_valid,rows_rejected,rows_duplicated,rows_loaded,status
1,orders_batch_1,2026-08-18T18:22:26.532124,2026-08-18T18:22:27.038968,420,386,34,0,386,SUCCESS
2,orders_batch_1,2026-08-18T18:22:27.043517,2026-08-18T18:22:27.595698,420,386,34,0,0,SUCCESS
3,orders_batch_2,2026-08-18T18:22:27.600072,2026-08-18T18:22:28.120814,424,384,40,1,383,SUCCESS
4,orders_batch_3,2026-08-18T18:22:28.125275,2026-08-18T18:22:28.645535,424,386,38,3,382,SUCCESS
5,orders_batch_1,2026-08-18T19:30:06.483394,2026-08-18T19:30:06.966477,420,386,34,0,0,SUCCESS
6,orders_batch_1,2026-08-18T19:30:06.970384,2026-08-18T19:30:07.478598,420,386,34,0,0,SUCCESS
7,orders_batch_2,2026-08-18T19:30:07.483374,2026-08-18T19:30:08.049453,424,384,40,1,0,SUCCESS
8,orders_batch_3,2026-08-18T19:30:08.053403,2026-08-18T19:30:08.652265,424,386,38,3,0,SUCCESS
